Length	Count
314.0	7
324.0	4
334.0	6
344.0	2
354.0	6
364.0	15
374.0	10
384.0	408
394.0	898
404.0	66734
414.0	3899
424.0	15784
434.0	0
--

Length	Count
310.0	2
320.0	1
330.0	6
340.0	4
350.0	4
360.0	6
370.0	8
380.0	12
390.0	4
400.0	36980
410.0	2621
420.0	40202
430.0	461
--

Length	Count
311.0	6
321.0	3
331.0	6
341.0	9
351.0	7
361.0	20
371.0	5
381.0	868
391.0	16
401.0	62669
411.0	271
421.0	25669
431.0	0
--

Length	Count
319.0	6
329.0	13
339.0	4
349.0	5
359.0	7
369.0	9
379.0	1301
389.0	10
399.0	59426
409.0	596
419.0	14302
429.0	7787
439.0	0
--

Length	Count
326.0	5
336.0	4
346.0	6
356.0	6
366.0	16
376.0	8
386.0	48
396.0	37399
406.0	19211
416.0	6716
426.0	3791
436.0	0
--

Length	Count
314.0	3
324.0	5
334.0	1
344.0	3
354.0	3
364.0	7
374.0	4
384.0	8
394.0	492
404.0	34619
414.0	184
424.0	30317
434.0	0
--

Length	Count
305.0	1
315.0	0
325.0	2
335.0	9
345.0	2
355.0	6
365.0	13
375.0	5
385.0	1049
395.0	34376
405.0	30444
415.0	8890
425.0	7397
435.0	0
--

Length	Count
319.0	6
329.0	8
339.0	3
349.0	3
359.0	6
369.0	7
379.0	8
389.0	4
399.0	37547
409.0	206
419.0	17987
429.0	27894
439.0	0
--

Length	Count
321.0	6
331.0	8
341.0	1
351.0	3
361.0	7
371.0	6
381.0	109
391.0	4
401.0	50676
411.0	205
421.0	27785
431.0	0
--

