Genus	sum_pos-menopausa	sum_menopausa	sum_perimenopausa	total_sum	mean_pos-menopausa	mean_menopausa	mean_perimenopausa	ratio_mean_pos-menopausa	ratio_mean_menopausa	ratio_mean_perimenopausa
Faecalibacterium	46024.0	14367.0	15867.0	76258.0	9204.8	7183.5	7933.5	37.85	29.54	32.62
Bacteroides	37265.0	6872.0	15623.0	59760.0	7453.0	3436.0	7811.5	39.85	18.37	41.77
Agathobacter	7648.0	15909.0	6843.0	30400.0	1529.6	7954.5	3421.5	11.85	61.64	26.51
UCG-002	16080.0	9638.0	3878.0	29596.0	3216.0	4819.0	1939.0	32.24	48.32	19.44
Christensenellaceae_R-7_group	9629.0	11460.0	6637.0	27726.0	1925.8	5730.0	3318.5	17.55	52.21	30.24
Roseburia	16236.0	4832.0	4757.0	25825.0	3247.2	2416.0	2378.5	40.38	30.04	29.58
Prevotella	20989.0	1570.0	921.0	23480.0	4197.8	785.0	460.5	77.12	14.42	8.46
Subdoligranulum	7378.0	5136.0	10468.0	22982.0	1475.6	2568.0	5234.0	15.9	27.68	56.42
Dialister	8791.0	1401.0	11076.0	21268.0	1758.2	700.5	5538.0	21.99	8.76	69.25
[Eubacterium]_coprostanoligenes_group	5376.0	4516.0	6256.0	16148.0	1075.2	2258.0	3128.0	16.64	34.95	48.41
Escherichia-Shigella	12826.0	965.0	555.0	14346.0	2565.2	482.5	277.5	77.14	14.51	8.35
Blautia	7880.0	2797.0	3284.0	13961.0	1576.0	1398.5	1642.0	34.14	30.29	35.57
UCG-005	5431.0	2946.0	2323.0	10700.0	1086.2	1473.0	1161.5	29.19	39.59	31.22
